"subject","acc","model","fit"
42,0.85,"softmax(Q)",0.9015
42,0.85,"softmax(Q * gaze)",0.88
42,0.85,"softmax(Q) * gaze",0.88
42,0.85,"softmax(Q) + gaze",0.908
43,0.8,"Q",0.828
43,0.8,"Q * gaze",0.7525
43,0.8,"Q + gaze",0.832
43,0.8,"softmax(Q)",0.9325
43,0.8,"softmax(Q * gaze)",0.8075
43,0.8,"softmax(Q) * gaze",0.8895
43,0.8,"softmax(Q) + gaze",0.914
44,0.75,"Q",0.73
44,0.75,"Q * gaze",0.6065
44,0.75,"Q + gaze",0.698
44,0.75,"softmax(Q)",0.7795
44,0.75,"softmax(Q * gaze)",0.5875
44,0.75,"softmax(Q) * gaze",0.7125
44,0.75,"softmax(Q) + gaze",0.784
45,0.95,"Q",0.775
45,0.95,"Q * gaze",0.7175
45,0.95,"Q + gaze",0.762
45,0.95,"softmax(Q)",0.8875
45,0.95,"softmax(Q * gaze)",0.6835
45,0.95,"softmax(Q) * gaze",0.8395
45,0.95,"softmax(Q) + gaze",0.878
46,0.4,"Q",0.5415
46,0.4,"Q * gaze",0.578
46,0.4,"Q + gaze",0.5185
46,0.4,"softmax(Q)",0.545
46,0.4,"softmax(Q * gaze)",0.612
46,0.4,"softmax(Q) * gaze",0.5415
46,0.4,"softmax(Q) + gaze",0.555
47,0.7,"Q",0.736
47,0.7,"Q * gaze",0.6695
47,0.7,"Q + gaze",0.721
47,0.7,"softmax(Q)",0.874
47,0.7,"softmax(Q * gaze)",0.69
47,0.7,"softmax(Q) * gaze",0.7785
47,0.7,"softmax(Q) + gaze",0.865
48,0.95,"Q",0.7885
48,0.95,"Q * gaze",0.684
48,0.95,"Q + gaze",0.783
48,0.95,"softmax(Q)",0.9795
48,0.95,"softmax(Q * gaze)",0.725
48,0.95,"softmax(Q) * gaze",0.947
48,0.95,"softmax(Q) + gaze",0.9665
49,0.8,"Q",0.7495
49,0.8,"Q * gaze",0.743
49,0.8,"Q + gaze",0.725
49,0.8,"softmax(Q)",0.804
49,0.8,"softmax(Q * gaze)",0.79
49,0.8,"softmax(Q) * gaze",0.7985
49,0.8,"softmax(Q) + gaze",0.801
50,0.8,"Q",0.692
50,0.8,"Q * gaze",0.6825
50,0.8,"Q + gaze",0.6415
50,0.8,"softmax(Q)",0.802
50,0.8,"softmax(Q * gaze)",0.853
50,0.8,"softmax(Q) * gaze",0.7485
50,0.8,"softmax(Q) + gaze",0.746
52,1,"Q",0.8195
52,1,"Q * gaze",0.7435
52,1,"Q + gaze",0.788
52,1,"softmax(Q)",0.931
52,1,"softmax(Q * gaze)",0.8495
52,1,"softmax(Q) * gaze",0.896
52,1,"softmax(Q) + gaze",0.9105
53,0.95,"Q",0.778
53,0.95,"Q * gaze",0.837
53,0.95,"Q + gaze",0.768
53,0.95,"softmax(Q)",0.9515
53,0.95,"softmax(Q * gaze)",0.9465
53,0.95,"softmax(Q) * gaze",0.945
53,0.95,"softmax(Q) + gaze",0.947
54,0.95,"Q",0.7595
54,0.95,"Q * gaze",0.7435
54,0.95,"Q + gaze",0.715
54,0.95,"softmax(Q)",0.9445
54,0.95,"softmax(Q * gaze)",0.842
54,0.95,"softmax(Q) * gaze",0.9005
54,0.95,"softmax(Q) + gaze",0.909
56,0.8,"Q",0.854
56,0.8,"Q * gaze",0.739
56,0.8,"Q + gaze",0.778
56,0.8,"softmax(Q)",0.9235
56,0.8,"softmax(Q * gaze)",0.777
56,0.8,"softmax(Q) * gaze",0.8
56,0.8,"softmax(Q) + gaze",0.8885
57,0.65,"Q",0.74
57,0.65,"Q * gaze",0.7335
57,0.65,"Q + gaze",0.7165
57,0.65,"softmax(Q)",0.775
57,0.65,"softmax(Q * gaze)",0.7725
57,0.65,"softmax(Q) * gaze",0.7335
57,0.65,"softmax(Q) + gaze",0.7365
58,0.8,"Q",0.6285
58,0.8,"Q * gaze",0.605
58,0.8,"Q + gaze",0.646
58,0.8,"softmax(Q)",0.7945
58,0.8,"softmax(Q * gaze)",0.7215
58,0.8,"softmax(Q) * gaze",0.715
58,0.8,"softmax(Q) + gaze",0.8335
59,0.95,"Q",0.7795
59,0.95,"Q * gaze",0.7805
59,0.95,"Q + gaze",0.7595
59,0.95,"softmax(Q)",0.9045
59,0.95,"softmax(Q * gaze)",0.9195
59,0.95,"softmax(Q) * gaze",0.887
59,0.95,"softmax(Q) + gaze",0.9115
60,0.65,"Q",0.7285
60,0.65,"Q * gaze",0.7005
60,0.65,"Q + gaze",0.6735
60,0.65,"softmax(Q)",0.778
60,0.65,"softmax(Q * gaze)",0.8035
60,0.65,"softmax(Q) * gaze",0.716
60,0.65,"softmax(Q) + gaze",0.7535
61,0.65,"Q",0.6855
61,0.65,"Q * gaze",0.6375
61,0.65,"Q + gaze",0.6325
61,0.65,"softmax(Q)",0.7845
61,0.65,"softmax(Q * gaze)",0.6865
61,0.65,"softmax(Q) * gaze",0.7375
61,0.65,"softmax(Q) + gaze",0.7375
62,0.55,"Q",0.5165
62,0.55,"Q * gaze",0.4765
62,0.55,"Q + gaze",0.483
62,0.55,"softmax(Q)",0.5425
62,0.55,"softmax(Q * gaze)",0.579
62,0.55,"softmax(Q) * gaze",0.483
62,0.55,"softmax(Q) + gaze",0.528
63,1,"Q",0.738999999999999
63,1,"Q * gaze",0.738
63,1,"Q + gaze",0.7315
63,1,"softmax(Q)",0.8375
63,1,"softmax(Q * gaze)",0.88
63,1,"softmax(Q) * gaze",0.836
63,1,"softmax(Q) + gaze",0.8615
64,0.85,"Q",0.75
64,0.85,"Q * gaze",0.7635
64,0.85,"Q + gaze",0.7305
64,0.85,"softmax(Q)",0.8835
64,0.85,"softmax(Q * gaze)",0.809
64,0.85,"softmax(Q) * gaze",0.829
64,0.85,"softmax(Q) + gaze",0.8455
65,0.85,"Q",0.734
65,0.85,"Q * gaze",0.559
65,0.85,"Q + gaze",0.7525
65,0.85,"softmax(Q)",0.8165
65,0.85,"softmax(Q * gaze)",0.5555
65,0.85,"softmax(Q) * gaze",0.571
65,0.85,"softmax(Q) + gaze",0.8345
66,0.45,"Q",0.5295
66,0.45,"Q * gaze",0.529
66,0.45,"Q + gaze",0.5425
66,0.45,"softmax(Q)",0.5615
66,0.45,"softmax(Q * gaze)",0.499
66,0.45,"softmax(Q) * gaze",0.5255
66,0.45,"softmax(Q) + gaze",0.537
67,0.45,"Q",0.5405
67,0.45,"Q * gaze",0.5125
67,0.45,"Q + gaze",0.4975
67,0.45,"softmax(Q)",0.5625
67,0.45,"softmax(Q * gaze)",0.3915
67,0.45,"softmax(Q) * gaze",0.5015
67,0.45,"softmax(Q) + gaze",0.518
68,0.75,"Q",0.678
68,0.75,"Q * gaze",0.685
68,0.75,"Q + gaze",0.664
68,0.75,"softmax(Q)",0.743
68,0.75,"softmax(Q * gaze)",0.76
68,0.75,"softmax(Q) * gaze",0.741
68,0.75,"softmax(Q) + gaze",0.7435
69,1,"Q",0.7995
69,1,"Q * gaze",0.809
69,1,"Q + gaze",0.804
69,1,"softmax(Q)",0.972
69,1,"softmax(Q * gaze)",0.9395
69,1,"softmax(Q) * gaze",0.9345
69,1,"softmax(Q) + gaze",0.93
70,0.9,"Q",0.808
70,0.9,"Q * gaze",0.6805
70,0.9,"Q + gaze",0.7525
70,0.9,"softmax(Q)",0.9215
70,0.9,"softmax(Q * gaze)",0.752
70,0.9,"softmax(Q) * gaze",0.865
70,0.9,"softmax(Q) + gaze",0.909
71,0.9,"Q",0.7545
71,0.9,"Q * gaze",0.7305
71,0.9,"Q + gaze",0.705
71,0.9,"softmax(Q)",0.9105
71,0.9,"softmax(Q * gaze)",0.8015
71,0.9,"softmax(Q) * gaze",0.905
71,0.9,"softmax(Q) + gaze",0.8895
72,0.45,"Q",0.5345
72,0.45,"Q * gaze",0.5295
72,0.45,"Q + gaze",0.5305
72,0.45,"softmax(Q)",0.51
72,0.45,"softmax(Q * gaze)",0.554
72,0.45,"softmax(Q) * gaze",0.538
72,0.45,"softmax(Q) + gaze",0.618
73,0.8,"Q",0.736
73,0.8,"Q * gaze",0.6545
73,0.8,"Q + gaze",0.6565
73,0.8,"softmax(Q)",0.8135
73,0.8,"softmax(Q * gaze)",0.635
73,0.8,"softmax(Q) * gaze",0.748
73,0.8,"softmax(Q) + gaze",0.7495
74,0.95,"Q",0.818
74,0.95,"Q * gaze",0.797
74,0.95,"Q + gaze",0.801
74,0.95,"softmax(Q)",0.9475
74,0.95,"softmax(Q * gaze)",0.809
74,0.95,"softmax(Q) * gaze",0.9095
74,0.95,"softmax(Q) + gaze",0.925
75,0.65,"Q",0.7305
75,0.65,"Q * gaze",0.6625
75,0.65,"Q + gaze",0.728
75,0.65,"softmax(Q)",0.789
75,0.65,"softmax(Q * gaze)",0.7525
75,0.65,"softmax(Q) * gaze",0.708
75,0.65,"softmax(Q) + gaze",0.776
76,0.95,"Q",0.8405
76,0.95,"Q * gaze",0.8665
76,0.95,"Q + gaze",0.822
76,0.95,"softmax(Q)",0.977
76,0.95,"softmax(Q * gaze)",0.982
76,0.95,"softmax(Q) * gaze",0.976
76,0.95,"softmax(Q) + gaze",0.9575
77,0.7,"Q",0.613
77,0.7,"Q * gaze",0.546
77,0.7,"Q + gaze",0.5555
77,0.7,"softmax(Q)",0.7185
77,0.7,"softmax(Q * gaze)",0.6025
77,0.7,"softmax(Q) * gaze",0.645
77,0.7,"softmax(Q) + gaze",0.657
78,0.65,"Q",0.5725
78,0.65,"Q * gaze",0.5755
78,0.65,"Q + gaze",0.549
78,0.65,"softmax(Q)",0.608
78,0.65,"softmax(Q * gaze)",0.7715
78,0.65,"softmax(Q) * gaze",0.5925
78,0.65,"softmax(Q) + gaze",0.677
79,0.95,"Q",0.723
79,0.95,"Q * gaze",0.808
79,0.95,"Q + gaze",0.784
79,0.95,"softmax(Q)",0.96
79,0.95,"softmax(Q * gaze)",0.982
79,0.95,"softmax(Q) * gaze",0.8895
79,0.95,"softmax(Q) + gaze",0.959
80,0.8,"Q",0.7505
80,0.8,"Q * gaze",0.6665
80,0.8,"Q + gaze",0.6085
80,0.8,"softmax(Q)",0.861
80,0.8,"softmax(Q * gaze)",0.7775
80,0.8,"softmax(Q) * gaze",0.7925
80,0.8,"softmax(Q) + gaze",0.7715
81,1,"Q",0.804
81,1,"Q * gaze",0.826
81,1,"Q + gaze",0.758
81,1,"softmax(Q)",0.926
81,1,"softmax(Q * gaze)",0.9085
81,1,"softmax(Q) * gaze",0.9215
81,1,"softmax(Q) + gaze",0.904
82,0.7,"Q",0.6535
82,0.7,"Q * gaze",0.626
82,0.7,"Q + gaze",0.6075
82,0.7,"softmax(Q)",0.7225
82,0.7,"softmax(Q * gaze)",0.869
82,0.7,"softmax(Q) * gaze",0.724
82,0.7,"softmax(Q) + gaze",0.7265
83,0.75,"Q",0.734
