"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
15,2723.03975609756,1618.3915390242,82,178.721447441062,2901.76120353862,2544.3183086565,"softmax(Q + gaze)",2548.91868495652
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"Q",2477.47339666461
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"Q * gaze",2557.65243712654
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"Q + gaze",2459.81592134876
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"softmax(Q)",2493.17454404421
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"softmax(Q * gaze)",2433.02404328715
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"softmax(Q) * gaze",2559.40087491858
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"softmax(Q) + gaze",2452.69643123123
16,2524.46654320988,1330.59643867155,81,147.844048741283,2672.31059195116,2376.62249446859,"softmax(Q + gaze)",2471.24710275244
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"Q",2507.31324658686
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"Q * gaze",2611.53366734139
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"Q + gaze",2492.336680347
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"softmax(Q)",2507.95746067244
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"softmax(Q * gaze)",2488.87138474478
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"softmax(Q) * gaze",2649.1089979378
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"softmax(Q) + gaze",2502.62453736435
17,2655.24975903614,1464.78399629015,83,160.78093139753,2816.03069043367,2494.46882763861,"softmax(Q + gaze)",2511.25132840265
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"Q",2466.80176192392
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"Q * gaze",2526.6724501988
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"Q + gaze",2424.98434229007
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"softmax(Q)",2483.53842884797
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"softmax(Q * gaze)",2446.68878337089
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"softmax(Q) * gaze",2537.09059575007
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"softmax(Q) + gaze",2407.78592061942
18,2480.05135802469,1337.04011138106,81,148.560012375674,2628.61137040037,2331.49134564902,"softmax(Q + gaze)",2449.53861021011
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"Q",2499.19528033743
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"Q * gaze",2516.93010644902
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"Q + gaze",2497.90460777075
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"softmax(Q)",2535.11599224964
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"softmax(Q * gaze)",2474.81289084913
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"softmax(Q) * gaze",2571.01602333249
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"softmax(Q) + gaze",2469.98803850341
