"subject","gaze_beta","model","gaze_effect","fitted_effect"
7,0.353484589645392,"Q + gaze",0.583333333333333,0.465833333333333
7,0.353484589645392,"softmax(Q)",0.583333333333333,-0.02
7,0.353484589645392,"softmax(Q * gaze)",0.583333333333333,0.485
7,0.353484589645392,"softmax(Q) * gaze",0.583333333333333,0.631666666666667
7,0.353484589645392,"softmax(Q) + gaze",0.583333333333333,0.484166666666667
7,0.353484589645392,"softmax(Q + gaze)",0.583333333333333,0.471666666666667
8,0.479096850876842,"Q",0.916666666666667,0.0983333333333333
8,0.479096850876842,"Q * gaze",0.916666666666667,0.715833333333333
8,0.479096850876842,"Q + gaze",0.916666666666667,0.603333333333333
8,0.479096850876842,"softmax(Q)",0.916666666666667,0.0775
8,0.479096850876842,"softmax(Q * gaze)",0.916666666666667,0.859166666666667
8,0.479096850876842,"softmax(Q) * gaze",0.916666666666667,0.7175
8,0.479096850876842,"softmax(Q) + gaze",0.916666666666667,0.639166666666667
8,0.479096850876842,"softmax(Q + gaze)",0.916666666666667,0.8725
9,0.118409886640805,"Q",0.0833333333333334,-0.0208333333333334
9,0.118409886640805,"Q * gaze",0.0833333333333334,0.330833333333333
9,0.118409886640805,"Q + gaze",0.0833333333333334,0.128333333333333
9,0.118409886640805,"softmax(Q)",0.0833333333333334,0.0508333333333334
9,0.118409886640805,"softmax(Q * gaze)",0.0833333333333334,0.3725
9,0.118409886640805,"softmax(Q) * gaze",0.0833333333333334,0.0941666666666667
9,0.118409886640805,"softmax(Q) + gaze",0.0833333333333334,0.0716666666666667
9,0.118409886640805,"softmax(Q + gaze)",0.0833333333333334,0.0758333333333334
10,0.187036300023191,"Q",0.416666666666667,0.0483333333333333
10,0.187036300023191,"Q * gaze",0.416666666666667,0.545833333333333
10,0.187036300023191,"Q + gaze",0.416666666666667,0.341666666666667
10,0.187036300023191,"softmax(Q)",0.416666666666667,0.108333333333333
10,0.187036300023191,"softmax(Q * gaze)",0.416666666666667,0.624166666666667
10,0.187036300023191,"softmax(Q) * gaze",0.416666666666667,0.4825
10,0.187036300023191,"softmax(Q) + gaze",0.416666666666667,0.234166666666667
10,0.187036300023191,"softmax(Q + gaze)",0.416666666666667,0.489166666666667
11,0.351168698269801,"Q",0.583333333333333,0.0974999999999999
11,0.351168698269801,"Q * gaze",0.583333333333333,0.54
11,0.351168698269801,"Q + gaze",0.583333333333333,0.425833333333333
11,0.351168698269801,"softmax(Q)",0.583333333333333,0.116666666666667
11,0.351168698269801,"softmax(Q * gaze)",0.583333333333333,0.575833333333333
11,0.351168698269801,"softmax(Q) * gaze",0.583333333333333,0.508333333333333
11,0.351168698269801,"softmax(Q) + gaze",0.583333333333333,0.3875
