"","(Intercept)","trial_number_z","ev_difference_z","gaze_diff_z","OEV_z","trial_number_z:ev_difference_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"15",7.04720132084226,0.082789013305841,-0.0474787539972754,0.0236279396765648,-0.0426494394384902,-0.00889141111356841,-0.00968843753849778,-0.00359372687108255
"16",7.54155227174508,-0.198470867245879,-0.0494726295810637,-0.0390051146527544,-0.076585106958059,-0.00889141111356841,-0.00968843753849778,-0.0285558568988514
"17",7.77943689494306,0.119845168035728,-0.0350879162712654,-0.0067417656825837,0.0133674153555903,-0.00889141111356841,-0.00968843753849778,-0.0242057659145052
"18",7.58956296912147,-0.101671359892473,-0.0361586424947119,-0.0166965548505026,0.0109233506241713,-0.00889141111356841,-0.00968843753849778,-0.0217631052214763
"19",7.66784006970221,0.0996482736028026,-0.0966049957643858,-0.00817479505600549,-0.0409799540577197,-0.00889141111356841,-0.00968843753849778,-0.00958748329667403
"20",7.21971461576693,-0.146731220337212,-0.096923689591177,-0.0673570674207544,-0.102985278781948,-0.00889141111356841,-0.00968843753849778,-0.0514444925219749
"21",7.4565351403139,-0.367027523715795,-0.040588148279845,-0.0351869950386191,-0.0532685633615544,-0.00889141111356841,-0.00968843753849778,-0.0278597592899335
"23",7.79614720335606,-0.155795488396138,-0.114065506603648,0.00514049185139551,-0.00963135067223922,-0.00889141111356841,-0.00968843753849778,-0.00643275304322415
"24",7.19082126181088,0.0767092004464349,-0.0572145705359458,-0.0446934079830805,-0.00213034254987412,-0.00889141111356841,-0.00968843753849778,-0.030405093492338
"25",7.67152028511957,-0.0766493833708063,-0.0466416785943068,-0.0080914430100294,-0.133595799895511,-0.00889141111356841,-0.00968843753849778,-0.0292760983563789
"26",7.6574977748309,-0.138552007634708,-0.0542413295714345,-0.0563921101703139,-0.0270168418361883,-0.00889141111356841,-0.00968843753849778,-0.0322398824151011
"27",7.24247782838945,-0.0227307303677915,-0.0855724585155826,-0.0229057004577262,-0.00220406739821823,-0.00889141111356841,-0.00968843753849778,-0.0142322980188817
"28",7.85836970557315,-0.145340862471585,-0.071529604095517,-0.0137474253627997,-0.0527302287525685,-0.00889141111356841,-0.00968843753849778,-0.0222088834518391
"29",7.26194350332234,0.375881905401349,-0.036568705685367,-0.00223050242921179,-0.0158733725482803,-0.00889141111356841,-0.00968843753849778,-0.0355844340320219
"30",8.00949932744693,0.0638531500549899,-0.0162027478202914,-0.0309632047672383,-0.0268806064442783,-0.00889141111356841,-0.00968843753849778,-0.00768679277654671
"31",7.80868273111127,0.0192802322731202,-0.0758615952000153,-0.0268811332612572,0.0539357366502648,-0.00889141111356841,-0.00968843753849778,-0.0194914074696567
"32",8.5446413275566,0.0440361515420081,-0.0599927700444047,-0.00748551051070015,-0.0528396329373043,-0.00889141111356841,-0.00968843753849778,-0.00459708197776706
"35",7.88262489548336,0.169246713423699,-0.00842092774393022,-0.0166325199630092,-0.00360463791506775,-0.00889141111356841,-0.00968843753849778,-0.00175423810739441
"36",7.51768939248428,0.203500663633017,-0.0480505900439468,-0.00807581233309494,-0.0328653949029033,-0.00889141111356841,-0.00968843753849778,-0.0122924410860986
"37",7.6737187634318,-0.113395611497687,-0.0739608873581124,-0.0431528147581965,0.0338515576361924,-0.00889141111356841,-0.00968843753849778,-0.00885363659483391
"38",7.70855825830447,-0.0969749984194512,-0.068055335083557,-0.058617216095746,0.00910248218945669,-0.00889141111356841,-0.00968843753849778,-0.032636564554418
"39",7.83168802201501,0.0435003703094433,-0.00711316260038564,-0.0488825106779007,0.0103163965603993,-0.00889141111356841,-0.00968843753849778,-0.0353491658956759
"40",7.57946836107406,0.0376063018328412,-0.0652558369453824,-0.0331357023222787,-0.00692957150482218,-0.00889141111356841,-0.00968843753849778,-0.0258873918694439
"41",7.28026391494505,0.114992423645357,-0.0471139251205171,-0.0216969527650496,-0.0142914554661328,-0.00889141111356841,-0.00968843753849778,-0.0113933952014324
"42",8.13771919283051,-0.118940951818315,-0.0570689321570072,-0.0204813725402502,-0.0347941329549604,-0.00889141111356841,-0.00968843753849778,-0.021416253494341
"43",7.76141320609582,-0.160384296094599,-0.105410863785798,-0.0677719917111453,-0.130514704154457,-0.00889141111356841,-0.00968843753849778,-0.0219476097110025
"44",9.12349065699791,-0.145854861542117,-0.0533706624505121,0.000347348360302709,0.00949644538922807,-0.00889141111356841,-0.00968843753849778,-0.0421441266091731
"45",8.0602067578733,-0.167947038296421,-0.0825243943719478,-0.0648877852357975,-0.0968975524041149,-0.00889141111356841,-0.00968843753849778,-0.0164528732496094
"46",7.06060390141571,0.0586808893733851,-0.0354633514570975,-0.0348794042547928,0.0040857245617919,-0.00889141111356841,-0.00968843753849778,-0.0059747697237977
"47",7.45071373285095,-0.160877717353528,-0.053240382988422,-0.0140795469345268,-0.0218227158224876,-0.00889141111356841,-0.00968843753849778,-0.0263075949889053
"48",7.7820530839464,-0.14258811265864,-0.0765752762247108,-0.0370030653299112,-0.112529991958733,-0.00889141111356841,-0.00968843753849778,-0.0146415035292115
"49",7.98272018945683,-0.00115904922234954,-0.0702149356164005,-0.0326075563625903,-0.140429959613238,-0.00889141111356841,-0.00968843753849778,-0.0420765191520491
"50",8.64835894470289,-0.226626074326759,-0.0283117688762189,-0.0676850165295862,-0.0302182915500498,-0.00889141111356841,-0.00968843753849778,-0.0215892265950536
"52",7.72640698515964,-0.270153917804693,-0.0612561191458498,-0.0323851891029796,-0.0753443079191228,-0.00889141111356841,-0.00968843753849778,-0.0289644951754473
"53",7.78755436196225,-0.160506434058023,-0.055777068709902,-0.0303832445514177,-0.0222479509343257,-0.00889141111356841,-0.00968843753849778,-0.019657590426157
"54",7.4617513846176,-0.217878940702156,-0.061325491339907,-0.0973457113970041,-0.107801313077665,-0.00889141111356841,-0.00968843753849778,-0.026162959897511
"56",7.70466037579422,-0.114232799444655,-0.0788025461820575,-0.0164743389380569,-0.0386453579015581,-0.00889141111356841,-0.00968843753849778,-0.0256905006788818
"57",7.73416403608693,0.000801759926158163,-0.0351382091240667,-0.00746678047468845,-0.0794306297805805,-0.00889141111356841,-0.00968843753849778,-0.0344532369668769
"58",7.82197203441131,-0.0218337313469838,-0.052869118220555,-0.0318604895523117,0.0152164156686876,-0.00889141111356841,-0.00968843753849778,0.00646741971484968
"59",7.20245054351131,-0.04553092415223,-0.067023261105702,-0.0203261892179253,0.0123299334465731,-0.00889141111356841,-0.00968843753849778,-0.000885633069133942
"60",7.79114085566576,-0.146105456851563,-0.0534034483981275,0.00595167143772995,-0.0512841047701795,-0.00889141111356841,-0.00968843753849778,-0.026112383970586
"61",7.7204783337972,-0.154665587014336,-0.0584735835491129,-0.069347399008236,-0.00926696402265771,-0.00889141111356841,-0.00968843753849778,-0.00220965063238533
"62",6.81180835935211,0.254115458201704,-0.047228372713096,0.0067008029836136,0.018055329789803,-0.00889141111356841,-0.00968843753849778,-0.0164315670258806
"63",8.25720662059468,-0.163839752172302,-0.066427619119102,-0.0438596235813951,-0.0860377553939956,-0.00889141111356841,-0.00968843753849778,-0.0136648829711466
"64",8.01756856966893,-0.109105574770917,-0.0775256251482395,-0.0263309739001871,-0.0749918522282343,-0.00889141111356841,-0.00968843753849778,-0.0202750813596261
"65",7.47871889535496,-0.257548979404316,-0.0461407753636482,-0.0645069995794553,-0.048645534672151,-0.00889141111356841,-0.00968843753849778,-0.00587781900976213
