"subject","slope","model","fit"
10,-1.96018227285357,"softmax(Q) * gaze",-13.6782251775939
10,-1.96018227285357,"softmax(Q) + gaze",-5.48870603757333
11,-15.85865490414,"Q",3.5812071522322
11,-15.85865490414,"Q * gaze",-3.45587692575659
11,-15.85865490414,"Q + gaze",-0.0534059272485162
11,-15.85865490414,"softmax(Q)",-6.64277259911835
11,-15.85865490414,"softmax(Q * gaze)",-1.79065115955466
11,-15.85865490414,"softmax(Q) * gaze",-11.2398666259187
11,-15.85865490414,"softmax(Q) + gaze",-6.15785910027822
12,-4.81858571825507,"Q",-1.04807019180587
12,-4.81858571825507,"Q * gaze",-2.8320233299502
12,-4.81858571825507,"Q + gaze",-1.93461556378448
12,-4.81858571825507,"softmax(Q)",-8.48805830007197
12,-4.81858571825507,"softmax(Q * gaze)",-4.41477451107474
12,-4.81858571825507,"softmax(Q) * gaze",-9.9227434171214
12,-4.81858571825507,"softmax(Q) + gaze",-6.32039050126111
13,-2.29515837732703,"Q",-1.05254083215581
13,-2.29515837732703,"Q * gaze",-2.06425772977097
13,-2.29515837732703,"Q + gaze",-0.284256209359141
13,-2.29515837732703,"softmax(Q)",-0.390249369466775
13,-2.29515837732703,"softmax(Q * gaze)",0.91815197304826
13,-2.29515837732703,"softmax(Q) * gaze",-1.71766893681567
13,-2.29515837732703,"softmax(Q) + gaze",-1.60532867029594
15,3.41852875798833,"Q",0.229871212836032
15,3.41852875798833,"Q * gaze",-1.58722120901953
15,3.41852875798833,"Q + gaze",-0.766292634319841
15,3.41852875798833,"softmax(Q)",-0.968492712231365
15,3.41852875798833,"softmax(Q * gaze)",-0.625553103749563
15,3.41852875798833,"softmax(Q) * gaze",-2.07475278242975
15,3.41852875798833,"softmax(Q) + gaze",-0.98340429784611
16,-23.9844103917755,"Q",0.922091719149641
16,-23.9844103917755,"Q * gaze",4.62914880798413
16,-23.9844103917755,"Q + gaze",1.61924662132072
16,-23.9844103917755,"softmax(Q)",-14.8847232639678
16,-23.9844103917755,"softmax(Q * gaze)",-0.139000219435828
16,-23.9844103917755,"softmax(Q) * gaze",-4.95527951807654
16,-23.9844103917755,"softmax(Q) + gaze",-8.22563927508018
17,19.234524034454,"Q",-0.985690041932563
17,19.234524034454,"Q * gaze",-3.74919980250425
17,19.234524034454,"Q + gaze",-2.40891860146982
17,19.234524034454,"softmax(Q)",-1.97384832570535
17,19.234524034454,"softmax(Q * gaze)",-2.389024141554
17,19.234524034454,"softmax(Q) * gaze",-2.58137027273404
