"trial_number","acc","n","se","upper","lower","model","fit"
21,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q) * gaze",0.68277108433735
21,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q) + gaze",0.724578313253012
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"Q",0.638313253012048
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"Q * gaze",0.588674698795181
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"Q + gaze",0.602168674698795
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"softmax(Q)",0.711807228915663
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"softmax(Q * gaze)",0.64855421686747
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"softmax(Q) * gaze",0.634698795180723
22,0.614457831325301,83,0.0534248041359777,0.667882635461279,0.561033027189323,"softmax(Q) + gaze",0.681686746987952
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q",0.649638554216868
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q * gaze",0.66433734939759
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q + gaze",0.673614457831325
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q)",0.726265060240964
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q * gaze)",0.75289156626506
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q) * gaze",0.711084337349398
23,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q) + gaze",0.753734939759036
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"Q",0.661807228915663
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"Q * gaze",0.608795180722892
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"Q + gaze",0.646506024096386
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"softmax(Q)",0.723855421686747
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"softmax(Q * gaze)",0.663373493975904
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"softmax(Q) * gaze",0.668072289156627
24,0.63855421686747,83,0.052732871825292,0.691287088692762,0.585821345042178,"softmax(Q) + gaze",0.733614457831325
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q",0.667831325301205
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q * gaze",0.663373493975904
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"Q + gaze",0.67855421686747
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q)",0.739397590361446
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q * gaze)",0.763975903614458
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q) * gaze",0.716385542168675
25,0.698795180722892,83,0.050357813205695,0.749152993928587,0.648437367517197,"softmax(Q) + gaze",0.759156626506024
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"Q",0.665542168674699
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"Q * gaze",0.675542168674699
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"Q + gaze",0.67710843373494
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q)",0.75
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q * gaze)",0.759397590361446
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q) * gaze",0.731927710843373
26,0.746987951807229,83,0.0477186725168663,0.794706624324095,0.699269279290363,"softmax(Q) + gaze",0.763012048192771
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q",0.678433734939759
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q * gaze",0.648433734939759
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q + gaze",0.653493975903614
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q)",0.737710843373494
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q * gaze)",0.716506024096385
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q) * gaze",0.694096385542169
27,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q) + gaze",0.742048192771084
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q",0.669759036144578
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q * gaze",0.687469879518072
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"Q + gaze",0.683373493975904
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q)",0.741807228915663
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q * gaze)",0.785180722891566
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q) * gaze",0.725180722891566
28,0.734939759036145,83,0.0484461332491629,0.783385892285307,0.686493625786982,"softmax(Q) + gaze",0.762650602409638
29,0.710843373493976,83,0.049763909099261,0.760607282593237,0.661079464394715,"Q",0.652530120481927
