"subject","trial_number","block","context","left_index","right_index","correct_resp","CHOICE_KEY","RT","left_outcome","right_outcome","chosen_option","EV_left","EV_right","correct_option","correct","choice","choice_id","pre_fix_left","pre_fix_right"
40,228,"transfer",100,7,2,"left","Left",937.66,NA,NA,7,33,18,6,1,7,1,0.43010752688172,0.56989247311828
40,229,"transfer",100,5,2,"left","Left",563.52,NA,NA,5,27,18,4,1,5,1,1,0
40,230,"transfer",100,2,1,"left","Left",1032.29,NA,NA,2,18,15,1,1,2,1,1,0
40,231,"transfer",100,6,4,"left","Left",1014.64,NA,NA,6,30,24,5,1,6,1,0.694164989939638,0.305835010060362
40,232,"transfer",100,8,7,"left","Right",628.53,NA,NA,7,36,33,7,0,7,2,0,1
41,1,"learning",4,8,7,"left","Left",5699.92,35,33,8,36,33,7,1,8,1,0.551873767258383,0.448126232741617
41,2,"learning",2,3,4,"right","Right",5816.36,19,22,4,21,24,3,1,4,2,0.297052154195011,0.702947845804989
41,3,"learning",4,7,8,"right","Left",4433.23,35,37,7,33,36,7,0,7,1,0.390407888839086,0.609592111160914
41,4,"learning",2,3,4,"right","Left",5655.71,22,25,3,21,24,3,0,3,1,0.53646477132262,0.46353522867738
41,5,"learning",4,8,7,"left","Left",5114.44,38,35,8,36,33,7,1,8,1,0.496913580246914,0.503086419753086
41,6,"learning",2,4,3,"left","Left",5172.49,21,24,4,24,21,3,1,4,1,1,0
41,7,"learning",1,1,2,"right","Left",2561.52,12,18,1,15,18,1,0,1,1,1,0
41,8,"learning",4,7,8,"right","Left",3910.63,32,35,7,33,36,7,0,7,1,0.479406919275124,0.520593080724876
41,9,"learning",3,6,5,"left","Right",3177.7,30,26,5,30,27,5,0,5,2,0.471531676022454,0.528468323977546
41,10,"learning",3,6,5,"left","Left",2869.97,32,29,6,30,27,5,1,6,1,1,0
41,11,"learning",2,3,4,"right","Left",4182.91,22,25,3,21,24,3,0,3,1,1,0
41,12,"learning",2,4,3,"left","Right",2955.14,23,21,3,24,21,3,0,3,2,0.505597014925373,0.494402985074627
41,13,"learning",2,3,4,"right","Left",3717.38,22,25,3,21,24,3,0,3,1,0.816009557945042,0.183990442054958
41,14,"learning",3,6,5,"left","Right",3077.7,31,29,5,30,27,5,0,5,2,0.234131508931965,0.765868491068035
41,15,"learning",3,6,5,"left","Left",3749.27,29,27,6,30,27,5,1,6,1,0.514925373134328,0.485074626865672
41,16,"learning",2,3,4,"right","Left",1526.72,18,23,3,21,24,3,0,3,1,0.499507389162562,0.500492610837438
41,17,"learning",1,1,2,"right","Right",1350.1,13,16,2,15,18,1,1,2,2,1,0
41,18,"learning",3,6,5,"left","Left",1972.24,30,24,6,30,27,5,1,6,1,0.641456582633053,0.358543417366947
41,19,"learning",3,6,5,"left","Right",3031.74,29,26,5,30,27,5,0,5,2,0.206896551724138,0.793103448275862
41,20,"learning",3,6,5,"left","Left",2416.26,28,30,6,30,27,5,1,6,1,1,0
41,21,"learning",1,2,1,"left","Right",2886.48,19,17,1,18,15,1,0,1,2,0.203349282296651,0.796650717703349
41,22,"learning",1,2,1,"left","Left",1585.22,15,18,2,18,15,1,1,2,1,0.335106382978723,0.664893617021277
41,23,"learning",2,4,3,"left","Right",2133.52,23,20,3,24,21,3,0,3,2,0.394366197183099,0.605633802816901
41,24,"learning",4,8,7,"left","Right",3056.05,38,32,7,36,33,7,0,7,2,0.461916461916462,0.538083538083538
41,25,"learning",2,3,4,"right","Right",5108.82,18,24,4,21,24,3,1,4,2,0.55568445475638,0.44431554524362
41,26,"learning",1,2,1,"left","Left",1838.71,20,17,2,18,15,1,1,2,1,0.643064985451018,0.356935014548982
41,27,"learning",1,1,2,"right","Left",5023.58,14,17,1,15,18,1,0,1,1,0.515566625155666,0.484433374844334
41,28,"learning",2,4,3,"left","Left",3119.73,25,21,4,24,21,3,1,4,1,0.71501272264631,0.28498727735369
41,29,"learning",3,6,5,"left","Left",3160.22,27,30,6,30,27,5,1,6,1,1,0
41,30,"learning",2,4,3,"left","Right",2200.33,26,20,3,24,21,3,0,3,2,0.256333830104322,0.743666169895678
41,31,"learning",1,2,1,"left","Left",2381.25,20,14,2,18,15,1,1,2,1,1,0
41,32,"learning",3,5,6,"right","Left",2584.7,28,31,5,27,30,5,0,5,1,0.277008310249307,0.722991689750693
41,33,"learning",4,8,7,"left","Left",2063.15,35,32,8,36,33,7,1,8,1,0.272037914691943,0.727962085308057
41,34,"learning",3,6,5,"left","Left",3974.72,31,27,6,30,27,5,1,6,1,0.472380952380952,0.527619047619048
41,35,"learning",3,5,6,"right","Left",1720.39,31,29,5,27,30,5,0,5,1,0,1
41,36,"learning",4,7,8,"right","Left",2303.2,34,37,7,33,36,7,0,7,1,0.45821325648415,0.54178674351585
