"subject","trial_number","context","available_option_1","available_option_2","LEFT_INDEX","UP_INDEX","RIGHT_INDEX","DOWN_INDEX","CHOICE_KEY","RT","Left_Outcome","Up_Outcome","Right_Outcome","Down_Outcome","Points","chosen_option","EV_1","EV_2","correct_option","correct","option_1","option_2","option_3","option_4","avail_1","avail_2","choice","choice_id","outcome_1","outcome_2","outcome_3","outcome_4","pre_fix_1","pre_fix_2","pre_fix_3","pre_fix_4","pre_fix_avail_1","pre_fix_avail_2","post_fix_1","post_fix_2","post_fix_3","post_fix_4"
46,26,"NSC",1,2,0,3,1,2,"Down",1340.23,10,33,40,39,888,2,37,40,2,1,1,2,3,4,2,3,3,2,10,40,39,33,0,0,0,0,0,0,0,0.768924302788845,0.231075697211155,0
46,27,"NSC",0,2,0,2,1,3,"Up",1585.11,14,40,38,34,928,2,13,40,2,1,1,2,3,4,1,3,3,2,14,38,40,34,0.611940298507463,0,0.388059701492537,0,0.611940298507463,0.388059701492537,0.5,0,0.5,0
46,28,"PSC",2,3,1,3,0,2,"Down",1192.96,28,27,21,50,978,2,47,30,2,1,5,6,7,8,7,8,7,1,21,28,50,27,0,0,0,0,0,0,0,0,1,0
46,29,"PSC",0,2,3,1,0,2,"Down",983.99,31,20,24,45,1023,2,20,47,2,1,5,6,7,8,5,7,7,2,24,20,45,31,0,0,0,0,0,0,1,0,0,0
46,30,"PSC",0,3,2,0,1,3,"Down",1027.6,46,24,24,29,1052,3,20,30,3,1,5,6,7,8,5,8,8,2,24,24,46,29,0,0,0,0,0,0,0.203023758099352,0.289416846652268,0.218142548596112,0.289416846652268
46,31,"PSC",0,1,3,0,2,1,"Down",1226.01,27,19,47,25,1077,1,20,23,1,1,5,6,7,8,5,6,6,2,19,25,47,27,0.307065217391304,0.692934782608696,0,0,0.307065217391304,0.692934782608696,0,1,0,0
46,32,"PSC",0,1,3,1,0,2,"Right",1351.36,31,21,18,48,1095,0,20,23,1,0,5,6,7,8,5,6,5,1,18,21,48,31,0,1,0,0,0,1,0.205128205128205,0.602564102564103,0.192307692307692,0
46,33,"NSC",1,2,1,2,3,0,"Left",1603.18,38,41,31,15,1133,1,37,40,2,0,1,2,3,4,2,3,2,1,15,38,41,31,0,0.503685503685504,0.496314496314496,0,0.503685503685504,0.496314496314496,0,0.636118598382749,0.363881401617251,0
46,34,"PSC",0,3,2,0,1,3,"Down",1479.36,47,22,26,28,1161,3,20,30,3,1,5,6,7,8,5,8,8,2,22,26,47,28,0.607438016528926,0,0,0.392561983471074,0.607438016528926,0.392561983471074,0.546728971962617,0,0,0.453271028037383
46,35,"NSC",0,2,3,2,1,0,"Up",888.93,31,40,38,16,1201,2,13,40,2,1,1,2,3,4,1,3,3,2,16,38,40,31,0,0,1,0,0,1,1,0,0,0
46,36,"NSC",1,3,1,3,2,0,"Up",937.45,37,29,40,12,1230,3,37,30,1,0,1,2,3,4,2,4,4,2,12,37,40,29,0,0,0,0,0,0,0.163166397415186,0.655896607431341,0,0.180936995153473
46,37,"NSC",0,3,1,3,0,2,"Right",1139.21,37,30,14,39,1244,0,13,30,3,0,1,2,3,4,1,4,1,1,14,37,39,30,0,0,0,0,0,0,0.295833333333333,0,0,0.704166666666667
46,38,"NSC",1,2,1,0,2,3,"Left",1004.76,36,11,42,32,1280,1,37,40,2,0,1,2,3,4,2,3,2,1,11,36,42,32,0,1,0,0,1,0,0,0.356948228882834,0.643051771117166,0
46,39,"NSC",1,3,2,0,3,1,"Down",1300.71,40,15,31,37,1317,1,37,30,1,1,1,2,3,4,2,4,2,1,15,37,40,31,0,0.743016759776536,0,0.256983240223464,0.743016759776536,0.256983240223464,0,0.25,0.343220338983051,0.406779661016949
46,40,"NSC",0,3,0,1,2,3,"Left",817.81,18,35,43,28,1335,0,13,30,3,0,1,2,3,4,1,4,1,1,18,35,43,28,1,0,0,0,1,0,1,0,0,0
46,41,"NSC",2,3,1,3,0,2,"Up",1127.96,35,29,14,39,1364,3,40,30,2,0,1,2,3,4,3,4,4,2,14,35,39,29,0,0,0,0,0,0,0,0,0.692946058091286,0.307053941908714
46,42,"PSC",2,3,2,1,0,3,"Left",942.02,50,21,21,29,1414,2,47,30,2,1,5,6,7,8,7,8,7,1,21,21,50,29,0,0,0,0,0,0,0,0,0.588477366255144,0.411522633744856
46,43,"PSC",1,2,2,1,3,0,"Left",1520.23,46,20,28,20,1460,2,23,47,2,1,5,6,7,8,6,7,7,2,20,20,46,28,0,0.472627737226277,0.527372262773723,0,0.472627737226277,0.527372262773723,0,0.31858407079646,0.68141592920354,0
46,44,"PSC",1,3,0,1,2,3,"Up",1068.05,24,24,51,31,1484,1,23,30,3,0,5,6,7,8,6,8,6,1,24,24,51,31,0,0,0,0,0,0,0,0.29585798816568,0,0.70414201183432
46,45,"NSC",0,3,1,2,0,3,"Down",1316.54,37,40,9,29,1513,3,13,30,3,1,1,2,3,4,1,4,4,2,9,37,40,29,0,0,0,0,0,0,0,0,0,0
46,46,"NSC",0,2,2,1,0,3,"Right",1705.23,40,37,12,31,1525,0,13,40,2,0,1,2,3,4,1,3,1,1,12,37,40,31,1,0,0,0,1,0,0.349753694581281,0,0.650246305418719,0
46,47,"NSC",0,1,0,2,3,1,"Down",1456.72,14,42,31,37,1562,1,13,37,1,1,1,2,3,4,1,2,2,2,14,37,42,31,0,0,0,0,0,0,0.603092783505155,0.396907216494845,0,0
46,48,"PSC",1,2,3,2,1,0,"Up",883.36,33,44,25,24,1606,2,23,47,2,1,5,6,7,8,6,7,7,2,24,25,44,33,0,0,1,0,0,1,0.554307116104869,0.445692883895131,0,0
46,49,"NSC",0,3,2,1,3,0,"Down",850.56,37,37,32,11,1617,0,13,30,3,0,1,2,3,4,1,4,1,1,11,37,37,32,0,0,0,0,0,0,0.355670103092784,0,0,0.644329896907217
46,50,"NSC",0,1,3,2,1,0,"Down",1363.17,31,43,40,9,1626,0,13,37,1,0,1,2,3,4,1,2,1,1,9,40,43,31,0,0,0,0,0,0,0,1,0,0
46,51,"NSC",0,3,0,1,3,2,"Right",1103.44,10,42,29,37,1655,3,13,30,3,1,1,2,3,4,1,4,4,2,10,42,37,29,0.956521739130435,0,0,0.0434782608695652,0.956521739130435,0.0434782608695652,0.362676056338028,0,0.341549295774648,0.295774647887324
46,52,"NSC",2,3,1,0,3,2,"Right",1132.83,36,11,26,40,1681,3,40,30,2,0,1,2,3,4,3,4,4,2,11,36,40,26,0,0,0,1,0,1,0,0,0,1
46,53,"PSC",0,1,2,0,1,3,"Up",1165.35,46,19,25,31,1700,0,20,23,1,0,5,6,7,8,5,6,5,1,19,25,46,31,0.550847457627119,0.449152542372881,0,0,0.550847457627119,0.449152542372881,0.372881355932203,0.464891041162228,0,0.162227602905569
46,54,"PSC",1,2,3,0,2,1,"Down",1230.78,29,23,46,26,1726,1,23,47,2,0,5,6,7,8,6,7,6,1,23,26,46,29,0,0,1,0,0,1,0,0,1,0
46,55,"PSC",0,1,3,1,2,0,"Down",1227.23,31,23,45,22,1748,0,20,23,1,0,5,6,7,8,5,6,5,1,22,23,45,31,0.349282296650718,0.650717703349282,0,0,0.349282296650718,0.650717703349282,0.362962962962963,0.637037037037037,0,0
46,56,"NSC",0,1,2,0,1,3,"Up",904.88,42,13,34,27,1761,0,13,37,1,0,1,2,3,4,1,2,1,1,13,34,42,27,0,1,0,0,0,1,0.380053908355795,0.619946091644205,0,0
46,57,"PSC",2,3,3,2,0,1,"Left",1475.87,30,47,15,25,1791,3,47,30,2,0,5,6,7,8,7,8,8,2,15,25,47,30,0,0,0.382470119521912,0.617529880478088,0.382470119521912,0.617529880478088,0,0,0.697399527186761,0.302600472813239
46,58,"PSC",0,2,2,3,0,1,"Left",2059.58,44,31,22,28,1835,2,20,47,2,1,5,6,7,8,5,7,7,2,22,28,44,31,0.48180924287119,0,0.51819075712881,0,0.48180924287119,0.51819075712881,0.421212121212121,0,0.578787878787879,0
46,59,"PSC",1,2,3,2,0,1,"Down",1235.03,31,48,22,22,1857,1,23,47,2,0,5,6,7,8,6,7,6,1,22,22,48,31,0,0.464285714285714,0.535714285714286,0,0.464285714285714,0.535714285714286,0,0,1,0
46,60,"NSC",2,3,3,2,1,0,"Up",2056.3,34,39,38,15,1896,2,40,30,2,1,1,2,3,4,3,4,3,1,15,38,39,34,0,0,0.473684210526316,0.526315789473684,0.473684210526316,0.526315789473684,0,0,0.748201438848921,0.251798561151079
47,1,"NSC",0,3,1,0,3,2,"Up",2422.8,37,11,32,37,11,0,13,30,3,0,1,2,3,4,1,4,1,1,11,37,37,32,0.562564632885212,0,0.136504653567735,0.300930713547053,0.562564632885212,0.300930713547053,0.279837775202781,0.113557358053302,0.30648899188876,0.300115874855156
47,2,"NSC",0,3,3,0,2,1,"Left",2315.33,29,9,40,37,40,3,13,30,3,1,1,2,3,4,1,4,4,2,9,37,40,29,0.441412520064206,0,0,0.558587479935795,0.441412520064206,0.558587479935795,0.618384401114206,0.0598885793871866,0.195682451253482,0.126044568245125
47,3,"PSC",0,3,1,0,3,2,"Right",2282.84,24,19,32,45,72,3,20,30,3,1,5,6,7,8,5,8,8,2,19,24,45,32,0.403761755485893,0.122884012539185,0.126645768025078,0.346708463949843,0.403761755485893,0.346708463949843,0.210852713178295,0,0.31937984496124,0.469767441860465
47,4,"PSC",1,3,0,3,1,2,"Up",2092.83,24,31,24,51,103,3,23,30,3,1,5,6,7,8,6,8,8,2,24,24,51,31,0,0.404172099087353,0,0.595827900912647,0.404172099087353,0.595827900912647,0,0.39297124600639,0.277955271565495,0.329073482428115
