"subject","mean_RT","model","fit"
8,1333.11425,"softmax(Q)",1313.87901011774
8,1333.11425,"softmax(Q * gaze)",1358.79480449448
8,1333.11425,"softmax(Q) * gaze",1263.98785023745
8,1333.11425,"softmax(Q) + gaze",1264.33006636571
9,1574.18325,"Q",1524.07096876232
9,1574.18325,"Q * gaze",1507.99318608322
9,1574.18325,"Q + gaze",1463.1799630475
9,1574.18325,"softmax(Q)",1496.21489550224
9,1574.18325,"softmax(Q * gaze)",1521.58708772124
9,1574.18325,"softmax(Q) * gaze",1504.320748153
9,1574.18325,"softmax(Q) + gaze",1445.44088905041
10,1693.47957983193,"Q",1631.51481838718
10,1693.47957983193,"Q * gaze",1775.87375414454
10,1693.47957983193,"Q + gaze",1630.32140004271
10,1693.47957983193,"softmax(Q)",1654.90131595952
10,1693.47957983193,"softmax(Q * gaze)",1723.71702005765
10,1693.47957983193,"softmax(Q) * gaze",1787.28057514026
10,1693.47957983193,"softmax(Q) + gaze",1644.70561331922
11,649.877171717172,"Q",439.871537859235
11,649.877171717172,"Q * gaze",518.893875849456
11,649.877171717172,"Q + gaze",441.029708299794
11,649.877171717172,"softmax(Q)",445.288578451254
11,649.877171717172,"softmax(Q * gaze)",453.57952233048
11,649.877171717172,"softmax(Q) * gaze",524.836726924893
11,649.877171717172,"softmax(Q) + gaze",449.419005540318
12,1119.50516666667,"Q",1512.21784801993
12,1119.50516666667,"Q * gaze",1695.02270922485
12,1119.50516666667,"Q + gaze",1524.07245753019
12,1119.50516666667,"softmax(Q)",1481.43070302541
12,1119.50516666667,"softmax(Q * gaze)",1605.17764804047
12,1119.50516666667,"softmax(Q) * gaze",1689.5877627784
12,1119.50516666667,"softmax(Q) + gaze",1493.09747700844
13,1701.54533333333,"Q",1727.92853303648
13,1701.54533333333,"Q * gaze",1782.18379625687
13,1701.54533333333,"Q + gaze",1686.89329574481
13,1701.54533333333,"softmax(Q)",1789.29500895444
13,1701.54533333333,"softmax(Q * gaze)",1768.68112204087
13,1701.54533333333,"softmax(Q) * gaze",1895.60054088348
13,1701.54533333333,"softmax(Q) + gaze",1722.45281701534
14,1337.32841666667,"Q",1226.97012810422
14,1337.32841666667,"Q * gaze",1431.4457207618
14,1337.32841666667,"Q + gaze",1226.50282349297
14,1337.32841666667,"softmax(Q)",1221.614319463
14,1337.32841666667,"softmax(Q * gaze)",1266.9890294257
14,1337.32841666667,"softmax(Q) * gaze",1452.86975021084
14,1337.32841666667,"softmax(Q) + gaze",1216.1878124534
16,1100.79791666667,"Q",1029.05237536478
16,1100.79791666667,"Q * gaze",1126.8580216822
16,1100.79791666667,"Q + gaze",990.484668340821
16,1100.79791666667,"softmax(Q)",1011.43017567079
16,1100.79791666667,"softmax(Q * gaze)",1014.62282893724
16,1100.79791666667,"softmax(Q) * gaze",1155.89407104156
16,1100.79791666667,"softmax(Q) + gaze",978.491938773571
17,2113.73974789916,"Q",1639.99169094862
17,2113.73974789916,"Q * gaze",1838.40768283885
17,2113.73974789916,"Q + gaze",1698.9270171399
17,2113.73974789916,"softmax(Q)",1661.38953838648
17,2113.73974789916,"softmax(Q * gaze)",1727.82438214512
17,2113.73974789916,"softmax(Q) * gaze",1866.62940119605
17,2113.73974789916,"softmax(Q) + gaze",1702.56434015716
18,1444.25708333333,"Q",1728.0340713624
18,1444.25708333333,"Q * gaze",1674.33017047244
18,1444.25708333333,"Q + gaze",1630.66947714093
18,1444.25708333333,"softmax(Q)",1605.9706213252
18,1444.25708333333,"softmax(Q * gaze)",1674.39418080975
18,1444.25708333333,"softmax(Q) * gaze",1661.01134556832
18,1444.25708333333,"softmax(Q) + gaze",1589.48488284187
19,1452.02966666667,"Q",1774.6922958449
19,1452.02966666667,"Q * gaze",1757.62718005077
19,1452.02966666667,"Q + gaze",1717.43008306415
19,1452.02966666667,"softmax(Q)",1675.75432477418
19,1452.02966666667,"softmax(Q * gaze)",1819.35549601307
19,1452.02966666667,"softmax(Q) * gaze",1735.20002328448
19,1452.02966666667,"softmax(Q) + gaze",1659.44490459271
20,1702.33175,"Q",1691.08259224923
20,1702.33175,"Q * gaze",1766.42448374062
20,1702.33175,"Q + gaze",1638.17788934094
20,1702.33175,"softmax(Q)",1689.76790101528
20,1702.33175,"softmax(Q * gaze)",1725.37005710689
20,1702.33175,"softmax(Q) * gaze",1763.84291974723
20,1702.33175,"softmax(Q) + gaze",1630.57123412842
22,1388.29083333333,"Q",1327.29246176266
22,1388.29083333333,"Q * gaze",1368.43201325809
22,1388.29083333333,"Q + gaze",1331.41626469262
22,1388.29083333333,"softmax(Q)",1345.16209048833
22,1388.29083333333,"softmax(Q * gaze)",1422.92100539126
22,1388.29083333333,"softmax(Q) * gaze",1454.22862467285
22,1388.29083333333,"softmax(Q) + gaze",1327.38402121251
23,1327.35575,"Q",1395.17862232188
23,1327.35575,"Q * gaze",1563.82105283139
23,1327.35575,"Q + gaze",1386.43105963098
23,1327.35575,"softmax(Q)",1364.69183830576
23,1327.35575,"softmax(Q * gaze)",1434.98730312299
23,1327.35575,"softmax(Q) * gaze",1579.55134232269
23,1327.35575,"softmax(Q) + gaze",1356.32647919414
24,1793.09908333333,"Q",1436.91186984677
