"subject","slope","model","fit"
11,-6.01265525074185,"softmax(Q) * gaze",-0.0551315335203126
11,-6.01265525074185,"softmax(Q) + gaze",-0.0690968580578228
12,-9.95906305993471,"Q",0.112080470902048
12,-9.95906305993471,"Q * gaze",1.34062470882766
12,-9.95906305993471,"Q + gaze",0.185023445475999
12,-9.95906305993471,"softmax(Q)",-1.12568273462234
12,-9.95906305993471,"softmax(Q * gaze)",1.31415039153979
12,-9.95906305993471,"softmax(Q) * gaze",0.630935528742453
12,-9.95906305993471,"softmax(Q) + gaze",-0.670336211595573
13,-7.49108445030905,"Q",-0.220480483389619
13,-7.49108445030905,"Q * gaze",-1.5339794030937
13,-7.49108445030905,"Q + gaze",-0.222678101609707
13,-7.49108445030905,"softmax(Q)",-0.199911685421678
13,-7.49108445030905,"softmax(Q * gaze)",0.379661629510229
13,-7.49108445030905,"softmax(Q) * gaze",0.100320926560598
13,-7.49108445030905,"softmax(Q) + gaze",-0.235275111795647
14,-5.7527621709841,"Q",-0.393353027145075
14,-5.7527621709841,"Q * gaze",1.35901783598962
14,-5.7527621709841,"Q + gaze",-0.11931002586415
14,-5.7527621709841,"softmax(Q)",-0.291250387264746
14,-5.7527621709841,"softmax(Q * gaze)",1.09896418270804
14,-5.7527621709841,"softmax(Q) * gaze",1.24633093387864
14,-5.7527621709841,"softmax(Q) + gaze",-0.0390625422957219
16,-7.99387530384055,"Q",-1.01326901206025
16,-7.99387530384055,"Q * gaze",-0.257758994796539
16,-7.99387530384055,"Q + gaze",-0.533320420886359
16,-7.99387530384055,"softmax(Q)",-2.50481886713789
16,-7.99387530384055,"softmax(Q * gaze)",0.445389136809042
16,-7.99387530384055,"softmax(Q) * gaze",-0.444299463696868
16,-7.99387530384055,"softmax(Q) + gaze",-0.489642103994096
17,-18.7870267055975,"Q",-1.06889962474475
17,-18.7870267055975,"Q * gaze",0.813164834743426
17,-18.7870267055975,"Q + gaze",0.235964087378114
17,-18.7870267055975,"softmax(Q)",-1.2891558237104
17,-18.7870267055975,"softmax(Q * gaze)",0.949371886615799
17,-18.7870267055975,"softmax(Q) * gaze",1.04848213379143
17,-18.7870267055975,"softmax(Q) + gaze",1.31365771273995
18,-5.92611150079866,"Q",-1.99602538459405
18,-5.92611150079866,"Q * gaze",-3.59813011290617
18,-5.92611150079866,"Q + gaze",-1.71021743905915
