"subject","acc","model","fit"
12,0.925,"softmax(Q) + gaze",0.889916666666667
12,0.925,"softmax(Q + gaze)",0.87475
13,0.858333333333333,"Q",0.758416666666667
13,0.858333333333333,"Q * gaze",0.719500000000001
13,0.858333333333333,"Q + gaze",0.73425
13,0.858333333333333,"softmax(Q)",0.795333333333333
13,0.858333333333333,"softmax(Q * gaze)",0.728
13,0.858333333333333,"softmax(Q) * gaze",0.767833333333333
13,0.858333333333333,"softmax(Q) + gaze",0.782833333333334
13,0.858333333333333,"softmax(Q + gaze)",0.789916666666666
14,0.758333333333333,"Q",0.599833333333333
14,0.758333333333333,"Q * gaze",0.563916666666666
14,0.758333333333333,"Q + gaze",0.611916666666667
14,0.758333333333333,"softmax(Q)",0.6605
14,0.758333333333333,"softmax(Q * gaze)",0.619333333333333
14,0.758333333333333,"softmax(Q) * gaze",0.565833333333333
14,0.758333333333333,"softmax(Q) + gaze",0.662416666666667
14,0.758333333333333,"softmax(Q + gaze)",0.672916666666666
16,0.866666666666667,"Q",0.7855
16,0.866666666666667,"Q * gaze",0.733833333333333
16,0.866666666666667,"Q + gaze",0.785666666666667
16,0.866666666666667,"softmax(Q)",0.814166666666667
16,0.866666666666667,"softmax(Q * gaze)",0.765333333333333
16,0.866666666666667,"softmax(Q) * gaze",0.744666666666666
16,0.866666666666667,"softmax(Q) + gaze",0.810750000000001
16,0.866666666666667,"softmax(Q + gaze)",0.812333333333333
17,0.725,"Q",0.687250000000001
17,0.725,"Q * gaze",0.643833333333333
17,0.725,"Q + gaze",0.72825
17,0.725,"softmax(Q)",0.743916666666666
17,0.725,"softmax(Q * gaze)",0.658583333333334
17,0.725,"softmax(Q) * gaze",0.71975
17,0.725,"softmax(Q) + gaze",0.767166666666666
17,0.725,"softmax(Q + gaze)",0.72225
18,0.908333333333333,"Q",0.815833333333333
18,0.908333333333333,"Q * gaze",0.805083333333333
18,0.908333333333333,"Q + gaze",0.816833333333333
18,0.908333333333333,"softmax(Q)",0.917083333333333
18,0.908333333333333,"softmax(Q * gaze)",0.870166666666667
18,0.908333333333333,"softmax(Q) * gaze",0.867583333333333
18,0.908333333333333,"softmax(Q) + gaze",0.899166666666667
18,0.908333333333333,"softmax(Q + gaze)",0.897
19,0.941666666666667,"Q",0.825916666666667
19,0.941666666666667,"Q * gaze",0.806916666666667
19,0.941666666666667,"Q + gaze",0.823583333333334
19,0.941666666666667,"softmax(Q)",0.919833333333333
19,0.941666666666667,"softmax(Q * gaze)",0.835666666666667
19,0.941666666666667,"softmax(Q) * gaze",0.894
19,0.941666666666667,"softmax(Q) + gaze",0.911083333333333
19,0.941666666666667,"softmax(Q + gaze)",0.916166666666667
20,0.791666666666667,"Q",0.8195
20,0.791666666666667,"Q * gaze",0.791583333333334
20,0.791666666666667,"Q + gaze",0.785083333333334
20,0.791666666666667,"softmax(Q)",0.84725
20,0.791666666666667,"softmax(Q * gaze)",0.846833333333334
20,0.791666666666667,"softmax(Q) * gaze",0.824
20,0.791666666666667,"softmax(Q) + gaze",0.853833333333333
20,0.791666666666667,"softmax(Q + gaze)",0.852916666666667
22,0.866666666666667,"Q",0.842666666666667
22,0.866666666666667,"Q * gaze",0.79075
22,0.866666666666667,"Q + gaze",0.826583333333333
22,0.866666666666667,"softmax(Q)",0.883416666666667
22,0.866666666666667,"softmax(Q * gaze)",0.820583333333334
22,0.866666666666667,"softmax(Q) * gaze",0.823416666666667
22,0.866666666666667,"softmax(Q) + gaze",0.870083333333333
22,0.866666666666667,"softmax(Q + gaze)",0.863916666666666
23,0.925,"Q",0.788416666666667
23,0.925,"Q * gaze",0.673
23,0.925,"Q + gaze",0.785333333333333
23,0.925,"softmax(Q)",0.886416666666667
23,0.925,"softmax(Q * gaze)",0.700166666666667
23,0.925,"softmax(Q) * gaze",0.702083333333333
23,0.925,"softmax(Q) + gaze",0.887916666666667
23,0.925,"softmax(Q + gaze)",0.840916666666668
24,0.75,"Q",0.716083333333333
24,0.75,"Q * gaze",0.649833333333333
24,0.75,"Q + gaze",0.697416666666667
24,0.75,"softmax(Q)",0.717583333333333
24,0.75,"softmax(Q * gaze)",0.720416666666667
24,0.75,"softmax(Q) * gaze",0.645166666666666
24,0.75,"softmax(Q) + gaze",0.716833333333333
24,0.75,"softmax(Q + gaze)",0.7375
25,0.716666666666667,"Q",0.590833333333333
25,0.716666666666667,"Q * gaze",0.59375
25,0.716666666666667,"Q + gaze",0.611583333333333
