"","(Intercept)","trial_number_z","gaze_diff_z","OEV_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"34",6.94399480318846,-0.25942105855877,-0.0949672631701499,-0.0408280572697476,-0.00293072285237949,0.0319596594314438
"35",6.85440065141156,-0.251042994555027,-0.0272902808927579,0.00218514912146439,0.0302992428271388,0.0421076585818793
"38",6.61170589008961,-0.193982048625537,-0.0773055642334163,-0.0182725100603649,0.0505404892080376,0.0116646545388157
"40",6.71169717462318,-0.181112427892158,-0.0319681999967811,0.0269857942261984,0.0275280460459841,0.0181804078484803
"41",7.71393420496487,-0.177911409257028,-0.0582612706114123,0.0123930073581837,-0.0101987413723379,-0.0320705329682067
"42",7.08814310885277,-0.192980760130481,-0.10243046732244,-0.0938411432140868,0.0164847181491825,-0.000271236343692939
"43",6.65364331655063,-0.155642484024092,-0.0479897060502458,0.0231661796842291,0.0337866728255384,0.0164026252727417
"44",7.09552908605163,-0.212270851623728,-0.0649064312581087,-0.00828392070212866,0.0206630173148421,0.0081489388252144
"45",7.55535435267955,-0.21920097395867,-0.10614748626655,-0.00915543717901749,0.0362084882362439,-0.0317105182161691
"46",6.7875399400761,-0.0851020438109405,-0.0869451936212361,0.0382443469388274,0.0335227018746073,-0.0101821286122661
"47",6.534622250509,-0.201709175037258,-0.084456590574625,-0.0278536606303272,0.0453989894348042,0.0123842970673985
"48",6.99519418722091,-0.0899731067407593,-0.033289816916755,0.0545735485920112,0.0435265714578151,0.00600566218958744
"49",7.50549222208269,-0.176020281688815,-0.0378241320011175,-0.0207904758205349,0.0445002749490754,-0.0391481266001966
"50",6.69544253148736,-0.33546147808433,-0.0843447231718714,-0.0211324659084676,0.0636235613346278,0.0384053921936529
"51",7.41136393108915,-0.109181993645806,-0.0929616129836319,-0.117771509182397,-0.00688467218437543,-0.0497047855580973
"52",6.76752042662986,-0.162476778406798,-0.0651762739012826,0.0552974172239094,0.0237852003449376,0.0150434479043055
"53",6.82286540254753,-0.30952817068838,-0.110143949379179,0.0576949283887631,0.0724005751101762,0.0418771565941483
"54",7.2025001083253,-0.242590281602432,-0.0960867238428392,0.0139784976814708,0.0289699210709015,-0.00532584784664933
"55",7.04426601680387,-0.0469313683196471,-0.0181862303417491,0.00537115442611092,-0.0105769638243293,-0.0178643601585988
"56",6.67217548283557,-0.341486226726661,-0.0507312039354982,-0.0976101870791534,0.0527025578989821,0.0337630644849388
"57",6.82821947649002,-0.219584728033854,-0.0337248717318399,-0.00169924579843462,0.0568264810897724,0.0121194644648399
"58",7.01190769192855,-0.341889590127203,-0.0705155786384443,0.121207311505338,0.0863201347491442,0.0397264133615298
