"subject","acc","model","fit"
35,0.6,"Q + gaze",0.663
35,0.6,"softmax(Q)",0.7405
35,0.6,"softmax(Q * gaze)",0.4955
35,0.6,"softmax(Q) * gaze",0.5045
35,0.6,"softmax(Q) + gaze",0.7505
38,1,"Q",0.9715
38,1,"Q * gaze",0.8875
38,1,"Q + gaze",0.938
38,1,"softmax(Q)",0.9825
38,1,"softmax(Q * gaze)",0.903
38,1,"softmax(Q) * gaze",0.9275
38,1,"softmax(Q) + gaze",0.9675
40,0.95,"Q",0.874
40,0.95,"Q * gaze",0.5705
40,0.95,"Q + gaze",0.8845
40,0.95,"softmax(Q)",0.9005
40,0.95,"softmax(Q * gaze)",0.58
40,0.95,"softmax(Q) * gaze",0.5985
40,0.95,"softmax(Q) + gaze",0.9
41,0.45,"Q",0.5595
41,0.45,"Q * gaze",0.5175
41,0.45,"Q + gaze",0.531
41,0.45,"softmax(Q)",0.573
41,0.45,"softmax(Q * gaze)",0.5095
41,0.45,"softmax(Q) * gaze",0.5
41,0.45,"softmax(Q) + gaze",0.5275
42,0.8,"Q",0.7525
42,0.8,"Q * gaze",0.601
42,0.8,"Q + gaze",0.6925
42,0.8,"softmax(Q)",0.8995
42,0.8,"softmax(Q * gaze)",0.6945
42,0.8,"softmax(Q) * gaze",0.688
42,0.8,"softmax(Q) + gaze",0.8585
43,0.75,"Q",0.668
43,0.75,"Q * gaze",0.691
43,0.75,"Q + gaze",0.7485
43,0.75,"softmax(Q)",0.7145
43,0.75,"softmax(Q * gaze)",0.8165
43,0.75,"softmax(Q) * gaze",0.68
43,0.75,"softmax(Q) + gaze",0.734
44,0.9,"Q",0.831
44,0.9,"Q * gaze",0.8585
44,0.9,"Q + gaze",0.836
44,0.9,"softmax(Q)",0.9785
44,0.9,"softmax(Q * gaze)",0.847
44,0.9,"softmax(Q) * gaze",0.941
44,0.9,"softmax(Q) + gaze",0.982
45,1,"Q",0.826
45,1,"Q * gaze",0.868
45,1,"Q + gaze",0.8695
45,1,"softmax(Q)",0.838
45,1,"softmax(Q * gaze)",0.926
45,1,"softmax(Q) * gaze",0.893
45,1,"softmax(Q) + gaze",0.881
46,0.95,"Q",0.8735
46,0.95,"Q * gaze",0.871
46,0.95,"Q + gaze",0.9045
46,0.95,"softmax(Q)",0.8535
46,0.95,"softmax(Q * gaze)",0.8695
46,0.95,"softmax(Q) * gaze",0.866
46,0.95,"softmax(Q) + gaze",0.892
47,0.95,"Q",0.8385
47,0.95,"Q * gaze",0.856
47,0.95,"Q + gaze",0.867
47,0.95,"softmax(Q)",0.9665
47,0.95,"softmax(Q * gaze)",0.839
47,0.95,"softmax(Q) * gaze",0.9215
47,0.95,"softmax(Q) + gaze",0.93
48,0.8,"Q",0.854
48,0.8,"Q * gaze",0.587999999999999
48,0.8,"Q + gaze",0.8485
48,0.8,"softmax(Q)",0.893
48,0.8,"softmax(Q * gaze)",0.5645
48,0.8,"softmax(Q) * gaze",0.623
48,0.8,"softmax(Q) + gaze",0.903
49,0.85,"Q",0.8265
49,0.85,"Q * gaze",0.79
49,0.85,"Q + gaze",0.758
49,0.85,"softmax(Q)",0.93
49,0.85,"softmax(Q * gaze)",0.8685
49,0.85,"softmax(Q) * gaze",0.8875
49,0.85,"softmax(Q) + gaze",0.787
50,1,"Q",0.8575
50,1,"Q * gaze",0.527
50,1,"Q + gaze",0.858
50,1,"softmax(Q)",0.988
50,1,"softmax(Q * gaze)",0.5195
50,1,"softmax(Q) * gaze",0.541
50,1,"softmax(Q) + gaze",0.9815
51,0.65,"Q",0.76
51,0.65,"Q * gaze",0.716
51,0.65,"Q + gaze",0.698
51,0.65,"softmax(Q)",0.8575
51,0.65,"softmax(Q * gaze)",0.754
51,0.65,"softmax(Q) * gaze",0.7485
51,0.65,"softmax(Q) + gaze",0.7765
52,1,"Q",0.935
52,1,"Q * gaze",0.9445
52,1,"Q + gaze",0.9605
52,1,"softmax(Q)",0.989
52,1,"softmax(Q * gaze)",0.9685
52,1,"softmax(Q) * gaze",0.982
52,1,"softmax(Q) + gaze",0.991
53,1,"Q",0.8045
53,1,"Q * gaze",0.7145
53,1,"Q + gaze",0.8025
53,1,"softmax(Q)",0.983
53,1,"softmax(Q * gaze)",0.681
53,1,"softmax(Q) * gaze",0.764
53,1,"softmax(Q) + gaze",0.9755
54,1,"Q",0.8825
54,1,"Q * gaze",0.9245
54,1,"Q + gaze",0.927
54,1,"softmax(Q)",0.9755
54,1,"softmax(Q * gaze)",0.9195
54,1,"softmax(Q) * gaze",0.9805
54,1,"softmax(Q) + gaze",0.9705
55,0.6,"Q",0.5325
55,0.6,"Q * gaze",0.475
55,0.6,"Q + gaze",0.553
55,0.6,"softmax(Q)",0.55
55,0.6,"softmax(Q * gaze)",0.4625
55,0.6,"softmax(Q) * gaze",0.487
55,0.6,"softmax(Q) + gaze",0.5365
56,0.95,"Q",0.7335
56,0.95,"Q * gaze",0.542
56,0.95,"Q + gaze",0.741
56,0.95,"softmax(Q)",0.935
56,0.95,"softmax(Q * gaze)",0.5805
56,0.95,"softmax(Q) * gaze",0.5445
56,0.95,"softmax(Q) + gaze",0.941
57,1,"Q",0.7695
57,1,"Q * gaze",0.681
57,1,"Q + gaze",0.7965
57,1,"softmax(Q)",0.992
57,1,"softmax(Q * gaze)",0.706
57,1,"softmax(Q) * gaze",0.812
57,1,"softmax(Q) + gaze",0.9955
58,0.9,"Q",0.873
58,0.9,"Q * gaze",0.8055
58,0.9,"Q + gaze",0.822
58,0.9,"softmax(Q)",0.933
58,0.9,"softmax(Q * gaze)",0.8455
58,0.9,"softmax(Q) * gaze",0.873
58,0.9,"softmax(Q) + gaze",0.8825
