"subject","gaze_beta","model","gaze_effect","fitted_effect"
13,0.170221329571558,"softmax(Q * gaze)",0.166666666666667,0.331666666666667
13,0.170221329571558,"softmax(Q) * gaze",0.166666666666667,0.219166666666667
13,0.170221329571558,"softmax(Q) + gaze",0.166666666666667,0.2125
14,0.015093768980313,"Q",0.666666666666667,0.0579166666666666
14,0.015093768980313,"Q * gaze",0.666666666666667,0.45625
14,0.015093768980313,"Q + gaze",0.666666666666667,0.0916666666666667
14,0.015093768980313,"softmax(Q)",0.666666666666667,0.0525
14,0.015093768980313,"softmax(Q * gaze)",0.666666666666667,0.702083333333333
14,0.015093768980313,"softmax(Q) * gaze",0.666666666666667,0.31375
14,0.015093768980313,"softmax(Q) + gaze",0.666666666666667,0.14125
16,0.0923567662639617,"Q",0.291666666666667,0.04625
16,0.0923567662639617,"Q * gaze",0.291666666666667,0.4275
