"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
23,1549.7378,810.110691719297,50,114.566952725288,1664.30475272529,1435.17084727471,"softmax(Q) + gaze",1347.90591172166
23,1549.7378,810.110691719297,50,114.566952725288,1664.30475272529,1435.17084727471,"softmax(Q + gaze)",1348.56805107949
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"Q",1357.33476261383
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"Q * gaze",1386.07167203575
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"Q + gaze",1336.73592346932
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"softmax(Q)",1383.7422330069
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"softmax(Q * gaze)",1303.31422473598
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"softmax(Q) * gaze",1394.66720098074
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"softmax(Q) + gaze",1354.14758523909
24,1504.3764,847.852352273769,50,119.90442954755,1624.28082954755,1384.47197045245,"softmax(Q + gaze)",1357.81131078684
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"Q",1356.59355111416
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"Q * gaze",1421.83461872031
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"Q + gaze",1324.67188593995
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"softmax(Q)",1375.34422716427
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"softmax(Q * gaze)",1338.36648343931
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"softmax(Q) * gaze",1411.43765556476
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"softmax(Q) + gaze",1306.41977200827
25,1544.6128,867.884820586375,50,122.737448385099,1667.3502483851,1421.8753516149,"softmax(Q + gaze)",1351.53182240552
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"Q",1360.13852409584
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"Q * gaze",1449.27618572253
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"Q + gaze",1356.01157908912
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"softmax(Q)",1376.8235336437
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"softmax(Q * gaze)",1321.95451104632
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"softmax(Q) * gaze",1437.25766944781
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"softmax(Q) + gaze",1373.85661275417
26,1584.8492,810.000093736049,50,114.5513118085,1699.4005118085,1470.2978881915,"softmax(Q + gaze)",1337.29919593329
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"Q",1364.02729258008
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"Q * gaze",1382.67246490687
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"Q + gaze",1324.56738522091
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"softmax(Q)",1343.48371845819
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"softmax(Q * gaze)",1334.53839361109
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"softmax(Q) * gaze",1385.08812847386
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"softmax(Q) + gaze",1327.78048192415
27,1597.9876,1133.39869441259,50,160.286780521424,1758.27438052142,1437.70081947858,"softmax(Q + gaze)",1325.51010580944
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"Q",1332.12335718988
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"Q * gaze",1474.76003919
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"Q + gaze",1337.91103072699
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"softmax(Q)",1372.97327169394
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"softmax(Q * gaze)",1323.9757996653
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"softmax(Q) * gaze",1501.90212033304
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"softmax(Q) + gaze",1347.88686065683
28,1527.77081632653,795.472842959972,49,113.63897756571,1641.40979389224,1414.13183876082,"softmax(Q + gaze)",1343.42468625696
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"Q",1317.9160338839
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"Q * gaze",1374.21077292022
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"Q + gaze",1289.74849665542
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"softmax(Q)",1354.25632434147
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"softmax(Q * gaze)",1294.27514202865
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"softmax(Q) * gaze",1358.70044484583
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"softmax(Q) + gaze",1316.18014424831
29,1341.4678,688.879290466651,50,97.4222435415893,1438.89004354159,1244.04555645841,"softmax(Q + gaze)",1330.87900779294
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"Q",1364.76074055675
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"Q * gaze",1511.04926648871
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"Q + gaze",1318.7633908161
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"softmax(Q)",1354.28951399618
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"softmax(Q * gaze)",1324.75153549584
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"softmax(Q) * gaze",1486.35959666634
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"softmax(Q) + gaze",1355.9030356081
30,1354.5752,740.265691804101,50,104.689378110886,1459.26457811089,1249.88582188911,"softmax(Q + gaze)",1357.76094796422
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"Q",1341.92171380425
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"Q * gaze",1471.81407103714
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"Q + gaze",1330.68970841691
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"softmax(Q)",1337.33220476175
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"softmax(Q * gaze)",1314.0907874642
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"softmax(Q) * gaze",1519.30345406743
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"softmax(Q) + gaze",1336.96606704557
31,1461.2274,907.173105412025,50,128.29365090938,1589.52105090938,1332.93374909062,"softmax(Q + gaze)",1346.58870810022
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"Q",1381.82671322697
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"Q * gaze",1504.25016507684
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"Q + gaze",1366.91862036812
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"softmax(Q)",1340.09167525927
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"softmax(Q * gaze)",1310.02363972775
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"softmax(Q) * gaze",1506.73160198276
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"softmax(Q) + gaze",1357.47152734822
32,1452.7004,928.182327008689,50,131.264803521071,1583.96520352107,1321.43559647893,"softmax(Q + gaze)",1364.13518883913
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"Q",1359.41059266352
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"Q * gaze",1420.0427713591
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"Q + gaze",1331.00374422779
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"softmax(Q)",1362.52758074373
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"softmax(Q * gaze)",1301.4921581585
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"softmax(Q) * gaze",1425.37982187028
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"softmax(Q) + gaze",1338.62444194806
33,1405.3758,866.11100644317,50,122.486593183254,1527.86239318325,1282.88920681675,"softmax(Q + gaze)",1328.35686208037
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"Q",1370.94480285194
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"Q * gaze",1359.28454245296
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"Q + gaze",1315.2793246172
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"softmax(Q)",1343.75326946797
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"softmax(Q * gaze)",1262.01927242303
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"softmax(Q) * gaze",1388.37125347472
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"softmax(Q) + gaze",1342.76952133491
34,1330.1386,753.279898419775,50,106.529864860827,1436.66846486083,1223.60873513917,"softmax(Q + gaze)",1314.72302991359
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"Q",1329.76830902133
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"Q * gaze",1441.47436183685
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"Q + gaze",1316.22499157848
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"softmax(Q)",1343.96756133853
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"softmax(Q * gaze)",1310.78322444147
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"softmax(Q) * gaze",1453.03460303865
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"softmax(Q) + gaze",1308.74211058033
35,1402.92979591837,685.660895266657,49,97.9515564666653,1500.88135238503,1304.9782394517,"softmax(Q + gaze)",1339.82241107043
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"Q",1306.26762254622
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"Q * gaze",1333.16282189942
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"Q + gaze",1293.84387039327
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"softmax(Q)",1346.66108233098
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"softmax(Q * gaze)",1291.21796432964
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"softmax(Q) * gaze",1354.67997965799
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"softmax(Q) + gaze",1281.43097654498
36,1252.8154,645.107016558572,50,91.2319091999178,1344.04730919992,1161.58349080008,"softmax(Q + gaze)",1307.86978391174
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"Q",1369.15728457244
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"Q * gaze",1372.27012318816
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"Q + gaze",1289.30681399891
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"softmax(Q)",1341.03736681763
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"softmax(Q * gaze)",1292.45141170391
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"softmax(Q) * gaze",1352.21124341375
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"softmax(Q) + gaze",1309.33191474113
37,1239.2184,666.844942103959,50,94.306116112332,1333.52451611233,1144.91228388767,"softmax(Q + gaze)",1312.77873885548
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"Q",1350.01168774305
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"Q * gaze",1440.43933337674
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"Q + gaze",1337.25992060408
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"softmax(Q)",1309.85354522088
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"softmax(Q * gaze)",1282.00078011188
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"softmax(Q) * gaze",1402.64271231488
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"softmax(Q) + gaze",1289.01933535674
38,1402.282,777.197659992591,50,109.912347140616,1512.19434714062,1292.36965285938,"softmax(Q + gaze)",1305.29153967802
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"Q",1370.67143790519
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"Q * gaze",1459.67967657887
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"Q + gaze",1342.48144623417
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"softmax(Q)",1322.44220907696
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"softmax(Q * gaze)",1316.32220370353
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"softmax(Q) * gaze",1422.54911327997
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"softmax(Q) + gaze",1333.13660852903
39,1506.6074,1188.32066956592,50,168.05392073484,1674.66132073484,1338.55347926516,"softmax(Q + gaze)",1319.32549016924
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"Q",1320.4255348434
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"Q * gaze",1461.51490695071
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"Q + gaze",1337.26760421657
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"softmax(Q)",1345.759740618
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"softmax(Q * gaze)",1367.24788784774
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"softmax(Q) * gaze",1498.28859076922
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"softmax(Q) + gaze",1352.23486429823
40,1446.9144,865.108420894568,50,122.344806175227,1569.25920617523,1324.56959382477,"softmax(Q + gaze)",1366.32999109035
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"Q",1342.26662513675
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"Q * gaze",1479.03272423314
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"Q + gaze",1344.13640573044
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"softmax(Q)",1344.03653174227
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"softmax(Q * gaze)",1312.26130213776
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"softmax(Q) * gaze",1444.45751333472
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"softmax(Q) + gaze",1326.85090426014
41,1575.2238,1016.73614184921,50,143.788204115804,1719.0120041158,1431.4355958842,"softmax(Q + gaze)",1319.47609137126
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"Q",1327.03187528392
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"Q * gaze",1376.73293331356
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"Q + gaze",1289.24079597074
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"softmax(Q)",1276.08371318505
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"softmax(Q * gaze)",1279.63875218
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"softmax(Q) * gaze",1368.00248596381
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"softmax(Q) + gaze",1289.53100398216
42,1409.5462,942.007284212683,50,133.219947718782,1542.76614771878,1276.32625228122,"softmax(Q + gaze)",1271.82102695829
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"Q",1362.20953519056
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"Q * gaze",1438.53373370736
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"Q + gaze",1337.23260270953
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"softmax(Q)",1323.34468122231
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"softmax(Q * gaze)",1328.44499547503
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"softmax(Q) * gaze",1442.86884605424
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"softmax(Q) + gaze",1315.05696169213
43,1371.09653061224,786.615179814626,49,112.373597116375,1483.47012772862,1258.72293349587,"softmax(Q + gaze)",1339.55917104543
44,1292.89163265306,725.581613352198,49,103.654516193171,1396.54614884623,1189.23711645989,"Q",1331.94625354027
44,1292.89163265306,725.581613352198,49,103.654516193171,1396.54614884623,1189.23711645989,"Q * gaze",1416.46401906199
44,1292.89163265306,725.581613352198,49,103.654516193171,1396.54614884623,1189.23711645989,"Q + gaze",1336.81820318298
44,1292.89163265306,725.581613352198,49,103.654516193171,1396.54614884623,1189.23711645989,"softmax(Q)",1313.70758550632
